correct_red,correct_green,correct_blue,rotten_red,rotten_green,rotten_blue,len_correct_part,len_rotten_part,class_fruit
158.37800153980655,91.96263331688553,43.94358131048007,212.84397717250457,180.29928233586875,132.77080664036936,1602267,365498,C
161.45134698676188,95.24982984019843,46.092813582938234,211.22143852308048,178.90186048167456,129.74844555554807,1610882,370399,C
165.9659764439922,97.3891702819933,45.129466555381555,217.70439693160927,184.39478143170513,133.36964416651625,1640737,382523,C
160.41774989986502,94.19195153209847,43.18379553289034,215.68515572003457,185.26293861386787,134.49851378833952,1728888,442093,C
167.75958054711936,100.21022554988232,47.437371145652534,218.28549216834568,184.67225209533984,135.83391226364432,1798922,463477,C
163.79751511269956,97.23379210338054,44.02440751264581,215.85834517148896,182.13567030976276,129.2632414205216,1901862,516545,C
146.7221579241035,122.96125256325797,36.22440580322706,194.43209850982748,193.2521611147358,100.7785324108745,1063790,384831,C
153.52033713526032,128.8646321207705,37.494618136433886,196.8089850654925,196.6018031787169,101.98744118578986,1081608,336907,C
147.45741625541015,122.84871451543327,37.16617201491573,194.39393798285664,192.56204336031146,100.95824236170684,1065426,385059,C
152.2460594865497,127.55369497162053,39.44759193712011,199.48576014981464,198.8165585634241,112.2560074176428,1166002,412612,C
135.88248583416745,106.41113926475687,28.191904788466896,190.4189886032916,194.43395729214132,103.38820334211881,1196587,506053,C
139.36051601710332,109.74201271836068,30.00487649763128,193.5609284284423,196.79950757324025,107.27588019808582,1224664,506105,C
136.04290702291186,106.49143594644687,28.944856841871786,192.29362626488438,196.02303898456097,105.9058957709219,1290183,506115,C
131.03724120711237,104.01768072979702,31.245628123132473,190.64692578751252,194.92292181498541,111.40381089415982,1426925,515294,C
